winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Hubert Brochard,Tradition Sancerre 2019,White wine,France,4.3,251,25.49,100% Sauvignon Blanc,,"Pale lemon in color with medium intensity nose. Floral, blossom, lemon, green apple, lime, pear. Dry, high acidity, medium bodied and medium alcohol. Medium plus intensity on the body . Green apple, lemon, pear, slight zest, soft rounded body. Ripe tropical fruit, mango, lychee. Outstanding quality of wine. 4.3 stars. Mostly clay with some limestone in the soil. The earth and minerality shines through.,Pale lemon appearance. Aromas of gooseberry on the nose. Dry, crisp, high acidity and light-bodied with pronounced flavors of peach, gooseberry, white blossom and flint. Long finish and nice complexity. First time tasting a Sancerre that had stone fruit as a predominant flavor - outstanding quality.,Aromas of lemon custard and fresh bread. Full bodied flavors of citrus and cantaloupe. Super smooth finish."
Treana,Cabernet Sauvignon 2018,Red wine,United States,4.3,2733,27.53,100% Cabernet Sauvignon,14.5,"These guys just keep knocking out of the park! Yet another fruit forward, soft tannin, easy drinking everyday cab. I’m sure I’ve enjoyed their 2017 vintage as well!,Outstanding, full bodied with vanilla, chocolate and dark fruit notes. Destrots anything up to $50, buy a case. Two year old cabernet? Believe!,Excellent Paso Robles cabernet sauvignon. Big and bold, fruit forward, with nice tannins. If this was from Napa, it would cost twice as much."
Whitehaven,Sauvignon Blanc 2019,White wine,New Zealand,4.1,3397,15.79,100% Sauvignon Blanc,,"Zesty blast of grapefruit pineapple and pears. Crisp fresh flavors and aromas with a lemony finish. Almost forgot how great this one is!,Lime, grapefruit, cut green grass on the nose. Citrus and tropical fruit on the palate. Always happy with this wine. And Megan agrees.,It had a green apple taste without being too overpowering. I've never been a huge fan of this wine, but maybe I've been drinking crap!"
Glunz,De la Costa White Sangria N.V.,Dessert wine,United States,3.8,29,10.95,Sauvignon Blanc,,Delicious and refreshing. So good on a warm summer day!
Broadbent,Madeira Fine Rich Sweet (3 Year Old) N.V.,Fortified Wine,Portugal,4.1,64,18.99,Tinta Negra Mole,,"Really quite surprised by the quality here. Gets an extra star because of price.,Shiny amber, translucent, nice legs, strong madeira raisiny aroma/flavor. Rich, smooth, lingers on tongue. Nice with Butternut squash cake."
Sandeman,Founder's Reserve Ruby Port N.V.,Fortified Wine,Portugal,4.0,2245,15.99,"Touriga Nacional, Touriga Franca, Tinta Roriz",,"Very rich fruity aromas. On the palate there is cherry and blackberry with hints of chocolate. Very smooth and just a bit tannic on the finish.,Nice port. Opens up with toffee. Also chocolate and oak. Black and red fruit and very good balance. Hints of dryed plums and raisins."
Sandeman,Fine Tawny Porto N.V.,Fortified Wine,Portugal,3.8,614,18.99,100% Touriga Franca,19.5,"Nice port, with a good balance of caramel and fruit flavors. +0.5 for the price: great value for money. Will definitely pick up another bottle to keep around.,The bottle from which I drank was probably around 20 years old but not a vintage Port. The color was light brownish. Faint notes of dried fruit, honey and molasses on the nose. The palate is full of unobtrusive sweetness, dried figs and hints of kitchen herbs. Pleasant sweet and herbal aftertaste.,Aroma of red fruit, cherry, vanilla, caramel and the taste of all carry through especially the cherry and caramel with some raisin and molasses plus a hint of black licorice. Semi dry and a finish that lasts."
Régis Minet,Vieilles Vignes Pouilly-Fumé 2019,White wine,France,4.2,58,29.99,100% Sauvignon Blanc,,"Delightful mouthfeel Sauvignon blanc grapefruit lemon green apple,Love the mouthfeel of this wine. Not as flavorful as the other Sauvignon Blancs of the evening but the creamier mouthfeel together with the citrus and pear flavors make for a food friendly and very enjoyable wine.,Sweet pear and light citrus with a little ocean breeze- not kidding. Lovely and paired great with shrimp scampy."
Terredora,Fiano di Avellino 2019,Dessert wine,Italy,3.8,31,26.99,100% Fiano,,"I've always been a fan of Fiano and this is a very fresh and fruity expression of this grape variety. White blossom, pineapple, pear, stone fruit with some distinct herbal undertones. On the palate fresh citrus fruits, creaminess and a mineral backbone. Warm, fleshy and full-bodied. Lovely!,Straw grass citrus apricot,Light straw golden color. Very aromatic with aromas of pear apricot honey and a slight note of nuttiness. Medium plus body with bright acidity and a nice creamy mouthfeel. On the palate this dry wine is displaying big flavors of honey and hazelnut with green apple hanging in the background. Would love to pair this with scallops or oysters."
Penner-Ash,Pinot Noir 2018,Red wine,United States,4.3,183,38.75,100% Pinot Noir,14.6,"Needs hour decant. Nose of funk earth and candied apple. Cranberry compote, tart strawberry, vanilla, clove, mint jelly on finish. Subtle Pinot.,Really well balanced Willamette Valley Pinot. Super tasty. 😍,Cherry, oak, some minerality. Really lovely"
Kopke,L.B.V Port 2012,Fortified Wine,Portugal,3.9,185,27,"Tinta Roriz, Tinta Madeira, Touriga Nacional, Touriga Franca",,"Fruity red LBV. Raisins, dark berries and chocolate on the palette. Bold and sweet. Nice balance between sweet and acidity. Long finish.,Full flavoured, practically black port to accompany a cheese platter. Taste of red jam, pruns, chocolate and integrated herbes. An alcohol and oaky finish. A creamy mouth sensation.,4.0 Dark red and purple in colour. Concentrated flavours of prune, fig, cherry, red fruit, chocolate. Good body and finish, small petille om the tip of your tongue. Very nice overall."
Lieb Cellars,Estate Sparkling Pinot Blanc 2017,Sparkling wine,United States,4.2,28,33.99,100% Pinot Blanc,,"Incredibly good sparkling white,Great green apple and toast notes. Opens up nicely.,Fresh, crisp fruit nose. Nice weight on the tongue and nice acidity. Very enjoyable to sip."
Golan Heights Winery,Yarden Cabernet Sauvignon 2017,Red wine,Israel,4.3,424,29.99,"90% Cabernet Sauvignon, 10% Merlot",14.5,"Very smooth and beautiful CabS. Medium body and tannins. Chocolate, black and red berries. Very very decent 100% CabS from Israel.,Nose: blackberry vanilla oak chocolate cherry blackcurrant leather Med + tannins, med + bodied , high flavor intensity , long finish . Good value,Fantastic! Deep, spicy and fruity: a blackberry, cherry with leather and smoke. I love this label. You don't have to wait a hundred years to find out if this wine is good."
G.H. Mumm,(Cordon Rouge) Brut Champagne N.V.,Sparkling wine,France,3.9,27106,34.63,"Pinot Meunier, Pinot Noir, Chardonnay",,"3.8 Well balanced Brut Champagne. Toast aroma's with citrus and grapefruit. Even a bit of hay on the nose. Concentrated mid section in which the fresh fruit comes to live. Good finish. I enjoyed it!,Elegant, bright, fresh cuvée (35/10/55 PN/Chard/Pinot Meunier), legendary red silk ribbon, eh... Light straw color, lemony glitters. Intense perlage. Refined bubbles. Fresh nose of yeasty whiff, then brioche, bruised apple, chalk, jasmine, lemon peels, peach. Quite fresh & vivid palate of light(+) body, mild acidity. Dry. Consistent. Lime, minerals, white grapefruit, green apple, lychee compote, undertone of canned pineapple. Stable finish, slowly dissolving with lemon, mineral (chalk), wild apple. 3.7527*,A good reminder, to let Champagne catch some air before drinking it. This Mumm started flat and ended up delicious after 3 hours open. Chalky and creamy in a mid body. Bit flat first but after a while adds apple, cake, bread, red currant and lavender. Then after a few hours additional marzipan, sweet cake, almond, green olive hints and a dash of vegetable broth in an increasingly mineral corny texture. This really gained a lot more muscle and complexity. Lovely bubbles!"
Villa Maria,Private Bin Sauvignon Blanc 2020,White wine,New Zealand,4.1,3444,15,100% Sauvignon Blanc,,"A delightful Sauvignon Blanc from New Zealand, plenty of fruit on the nose but not artificial in taste with a light mouthfeel.,Citrus, grass, high acidity, minerality, high acidity, typical NZ SB qualities but nicer than the other ones ive tried, super good value,What a delight this vintage is! Lime, melon, not too acidic yet crisp & smooth. Proper SB this one & excellent VFM. Love it. Great go to wine 👌"
Saint Andre de Figuiere,Magali Signature Côtes de Provence Rosé 2019,Rosé wine,France,3.9,290,19.99,"Sauvignon Blanc, Cinsault, Shiraz/Syrah, Grenache",,"I found the ‘big brother’ (La Première) slightly opulent in the current vintage, but I quite liked this blend, the Magali. Maybe the Mourvèdre in the premium cuvée makes a difference ... Anyway, this is a very good and balanced rosé that has pretty much everything that you may expect in this category: fresh and fruity, yet appealing and smooth. A decent rosé that doesn’t require too much effort from the recipient.,Rosé time again! What better to enjoy with Mediterranean food in the sun at one of my favourite restaurants? Vivino rating on the mark although atmosphere and food certainly helped. This is a classy blend where Cab Sauv adds structure to the Grenache and Cinsault. Increasingly, I think rosés do benefit from the addition of the CS grape. Inviting nose of red berries, rhubarb, melon and pear. Bone dry. Yellow stone fruit (nectarine, plum) also comes through on palate. Super-refreshing, Give me more! 😎,Nomnomnom for this Côtes de Provence rose! Lots of minerals, peach and red berries such as strawberry. Lovely"
Château Coutet,Sauternes Barsac (Premier Grand Cru Classé) 1996,Dessert wine,France,4.2,141,63.99,"Sauvignon Blanc, Sémillon, Muscadelle",,"Perhaps just moving past it’s peak but a lovely aged Sauternes with a lively, sweet freshness to it. honey pineapple peach tropical,At the age of 23 this wine is really splendid, great balance and freshness for a mature Sauternes, the sweetness and acidity nicely complete each other. On the nose classical nots of dried apricot, honey, minerals, lime, acacia, citrus blossom and dried flowers, full body, thick delicious-smooth texture and delightful sweet lingering finish. My score 92, drink to 2026,Gorgeous on its own at the end of a meal (or as an aperitif). Decent complexity."
Château du Grand Bos,Graves Rouge 2010,Red wine,France,4.3,56,35,"Cabernet Franc, Merlot, Petit Verdot, Cabernet Sauvignon",,"⭐️ 3.9 🏡 10 km SE from Bordeaux. Est 1868, re-est. 1988, 3rd gen family winery. 42ha. Soil: gravel, clay, sand upon a limestone. 15-50 years old vines 🍾 47% CabSav, 45% Merlot, 8% Pt.Verdot. 12 mo in Barriques 👁 Deep ruby 👃🏻 underbrush, blackberry, cherry, bay leaf, eucalyptus, oak, ink, blueberry 📝 acidity ↗️, body ↗️, dry, cotton linen texture 👅 blackberry, blueberry, chokeberry, ink, black cherry, tomato leaf, grass, oak, pepper 🔚 tannins: med intense, lasting 📜 well done yet a bit green and shaggy,This is a bold dry red wine which is a great accompaniment to red meat. It has earthy notes with rich dark red fruits.,Nicely aged and elegant Bordeaux"
Maison No. 9,Rose 2019,Rosé wine,France,4.2,759,19.99,"Shiraz/Syrah, Merlot, Cinsault",12.5,"Aromas of sweet strawberry, apricot, and honeydew. Palette is tart. Filled with Strawberry and unripe stone fruit. Finishes with minerality,Delightfully crisp and refreshing with citrus and red fruit notes. Medium bodied. Perfect for a hot, quarantine — I mean summer — day.,4.2⭐️ Light and crisp, earthy, with red fruit notes, some citrus, and not very acidic.. doesn’t seem very complex, but a nice bottle to start the afternoon with!"
Beckmen,Purisima Mountain Vineyard Syrah 2018,Red wine,United States,4.3,97,36.99,,,"This Syrah may fall a little short of a 4.5 rating on Vivino, but it comes pretty close. Abundant aromas and flavors of blackberry and boysenberry predominate, with hints of chocolate and spice. The wine offers a rounded texture and a wonderful balance. It drinks well now but should age beautifully over the next 15+ years. 1600 cases produced.,Early 2021 tasting. One hour decant. Medium purple in the glass. Leather, tart cherries, blueberries, anise on the nose. A *very* fruity palate: Blueberry jam, strawberry jam, cherry preserves, and a touch of spicy heat. Low acids, medium-low tannins. Medium length finish of cassis If you like jammy, this one is for you!,A ripe vintage loaded with blackberry and boysenberry fruits, chocolate, pepper, and gaminess in both flavor and aroma. Wonderfully rounded texture, with beautiful balance between all its parts- fruit, oak, tannin, acid, and alcohol. Drink: 2020-2038 Cases Produced: 1600"
Château d'Esclans,Whispering Angel Rosé 2020,Rosé wine,France,4.2,562,19.88,100% Grenache,,"Lovely Rose, pure Provence. Feels like being in the Alpes. Its smooth, minerally, dry. It’s a good- really good rose.. santé,Sunshine in your glass, of course it’s a hype, but one I like. Smooth, soft strawberry, white stone fruit lime, green herbs and little oak. Great marketing too 😉,Still good.. 👍 Enough personal reviews written about this wine already earlier, but let’s leave it saying it was so good that I bought 12 bottles and 6 magnums of it.. 😉"
Fleurs de Prairie,Côtes de Provence 2020,Rosé wine,France,4.1,228,14.23,"55% Grenache, 30% Cinsault, 15% Shiraz/Syrah",,"Mild salmon pink. In the nose elegant notes of citrus fruits, grapefruit and red berries. On the palate, juicy, refreshing acidity and medium body, with an elegant, long finish.,2020 even better than the 2019. This is an excellent rosé de Provence at this price point.,The best rose that i drank in a long time,"
Alpha Estate (Κτήμα Αλφα),Rosé 2018,Rosé wine,Greece,4.1,107,24.99,Xinomavro,,"An amazing greek rosé. Fruity nose with tastes of strawberry and peach. A distinct aspect of minerals with a pleasant aftertaste.,Xinomavro Masterclass wines Strawberry, raspberry, peach, orange peel. Now 100% Xinomavro! Very elegant and fresh, vivid. Light body but very pleasant.,Incredible greek rose strawberries and cream and a Greek sunset in a glass. Cotton candy on the nose. Beautiful straw colour like liquid rose gold. New favourite rose,103 ratings,253 ratings,282 ratings,319 ratings"
Quinta da Romaneira,Fine Tawny Port N.V.,Fortified Wine,Portugal,3.9,711,18.99,"Touriga Franca, Tinta Roriz, Tinta Barroca",,"Medium garnet Pronounced intensity, cinnamon, nutmeg, jamminess, raisins, cocoa, coffee, dried figs and toffee . Fully developed Sweet, medium (+) acidity, medium (-) tannins, high alcohol, medium (+) body and flavour intensity. Long finish 3.9"
Dutton-Goldfield,Dutton Ranch Chardonnay 2015,White wine,United States,4.2,164,32,100% Chardonnay,13.8,"Light citrusy with spring flowers nose, with a wonderful rich and deep body of butterscotch and butter aromas. Low acidity and a fairly round in the mouth. Amazing !,Republic Annual Wine Tasting 26 of 37 I love Dutton Goldfield...full bodied, nice cream, great depth, long finish. Perfect fruit, oak, cream balance.,Pear, honeysuckle, apple, and honeydew on the fragrant nose. Tart apple, grapefruit, lemon, and hints of butter on the open palate. Too much bite to be creamy. Lasting finish. Better than the 2013 according to my notes."
Bodega Norton,Lote Negro 2016,Red wine,Argentina,4.2,1100,36.99,100% Cabernet Franc,14.5,"Very interesting blend of Malbec (60%) and Cab Franc (40%). On the nose lovely aromas of black fruit licorice pepper chocolate leather earth; on the palate very balanced albeit the alcohol was a bit high,Big wine, Malbec style, but quite some Cabernet Franc makes it powerful and fruity, some soft tannins,Full bodied. Great, great wine"
Stella Rosa,Imperiale Prosecco N.V.,Sparkling wine,Italy,4.0,75,14.99,100% Glera,,"Fantastic, dry and slightly autolytic even. Just goes to show great prosecco doesn't have to cost much more than average prosecco.,Dry refreshing summer wine,Excellent drinkable effervescent red. Very surprising, fruity light and smooth."
Ruffino,Moscato d'Asti,Sparkling wine,Italy,4.2,2180,14.88,Moscato Bianco,,"Very delicious! Don’t like whites but this one is special!,Nice balance in this bubbly moscato. Stronger citrus bitterness than other moscatos. Excellent for a fresh drink.,Nice fruit and sweet"
Quinta da Romaneira,Tinto 2015,Red wine,Portugal,4.3,533,30,"Touriga Nacional, Touriga Franca, Tinto Cao",13.5,"15 N - black cherry, blackberry, earth, freshness, spicy, leathery P - black cherry, red cherry, raspberry, boysenberry Acid M+ Tannins - M- and chalky,€27.99 @ Centra Superb heavy but smooth and very finely balanced Douro red. Rich caramel with a punch through of red fruit raspberry. Treat yourself!,A smooth, full red DOC with a balance of flavors, including deep dark cherry, a splash of raspberry, notes of tobacco, some earthiness, and a hint of leather. A balance of tannins gives this wine a most pleasant taste that works well with foods or just just to enjoy."
Chateau Prost,Sauternes 2015,Dessert wine,France,4.0,37,17.95,"Sauvignon Blanc, Sémillon, Muscadelle",,"No ce, full bodied,Nice, but very far from a real big Sauternes. Nice and fresh. Quite good value for money.,Honeycomb notes. Very smooth to drink."
Schramsberg,Brut Rosé 2017,Sparkling wine,United States,4.4,128,37.94,"72% Pinot Noir, 28% Chardonnay",12.6,"Frankly it’s hard to imagine a more playful quaff. Tasted outside at the winery, this is always a favorite of mine. Light notes of strawberry and rose petal, an unmistakable dryness permeates the wine while excited bubbles compete to see which can tickle your nose first. A perfect summertime wine, I highly recommend this brut rosé from Napa’s second oldest winery! Cheers friends! 🥂,strawberry on the palate. such a wonderful sparkling rose. picked up at the vineyard. paired w breakfast sandos and a dutch baby at jake and vanessa’s,Generous aromas of candied orange, raspberry preserve, cranberry and orange blossom. It’s fruity nose is complimented by notes of vanilla, honey and brioche. On the palate, there are juicy flavors for peach, strawberry shortcake and lemon curd with soft touches of marzipan. The wine has a vibrant acidity that drives to a bright clean finish. Mostly Pinot noir with about 40% Chardonnay"
Erath,Rosé Pinot Noir 2019,Rosé wine,United States,3.9,71,15.99,100% Pinot Noir,,"I was able to buy this for under $10 a bottle. Fantastic rose at this price. The best sub $10 wine I have had in a long time.,Nice rosé and great price point. Fruity and soft. Very drinkable.,Crisp and dry with light berry aromas. A minerality on the finish."
Strehn,Blaufränkisch Rosé 2019,Rosé wine,Austria,4.0,37,24,Blaufränkisch,12.5,"👃🏼 floral, dark fruits, fresh, citrus 👅 creamy, grip, strawberries, raspberries 4.0"
Bartenura,Piemonte Brachetto 2017,Dessert wine,Italy,4.3,34,17.99,100% Brachetto,,"Seeet, a little effervescent.,Sweet fruity dessert wine the a slight sparkle,Not overly sweet- a enjoyable wine for good conversations!"
Innocent Bystander,Moscato Rosé 2019,Sparkling wine,Australia,4.1,126,18.35,Muscat Hamburg,5.5,"Very yummy moscato! My first from Australia I think as well. Lovely to a light and fresh dessert 👌🏼 90/100 strawberry raspberry watermelon peach cream honey rhubarb citrus grapefruit tropical cotton candy minerals rose water ripe strawberry pomegranate pink grapefruit perfume,I enjoy the light summer taste with the bubbles. Lychee on the nose and taste. Sweet peach flavor with rose water as well. Light body and light acidity,Yummy!🤩 Oh, I do love a good moscato😍 Low-alcohol, bubbly, sweet as sugar❤️ rhubarb apricot honey balsamic peach golden raisin and a hint of sherry perhaps? Anyway, utterly lovely🥰"
Chateau Ste. Michelle,Harvest Select Sweet Riesling 2015,Dessert wine,United States,4.1,1068,9.95,100% Riesling,10.5,"Honeydew, apricot, peaches, and pears. A bit of sparkle without being forward, an excellent sweet riesling. Would buy again, absolutely.,Great buy! Sweet, crisp, white peach, apple, high acidity. Makes my cheeks tingle delightfully. Goes down smooth with a nice finish.,Chateau Ste. Michelle Harvest Select Sweet Riesling 2015. Light straw color. Mineral, stone, straw, butter on the nose. Light body. Light acidity. Peach, pear, honey, tropical, kiwi, green fig on the palate. Smooth finish. Great balance. Good structure. Really impressed for the $. Great with Cajun shrimp & chicken tacos. I rate it a 4.5 out of 5. 10.5% Vol."
Browne,Grenache Rosé 2018,Rosé wine,United States,4.0,85,26.99,100% Grenache,12.5,"Delicious rosé light notes of strawberry watermelon with a finishing note of minerals,Bright and clean; strawberry, watermelon, lime, raspberry, and cream.,Fresh Columbia Valley rosé. Exploring the WA wine scene after moving here. This rosé was a nice Costco find. Made by Browne (Walla Walla), with CV fruit from 2 vineyards, 100% Grenache. Aged 3 months in stainless. Nice and bright with nearly effervescent acidity, medium body but a bit heavier on the palate than I’d like. Pleasant notes of strawberry, pear, and cream with a short finish. Appropriate for $14."
Au Contraire,Rosé 2018,Rosé wine,United States,4.1,72,33.99,100% Pinot Noir,13.8,"Fantastic rosé! Buttery and sweet and just a hint of tartness. Had at Liberty Kitchen on the night before Susanna’s birthday.,It’s a bold choice, with the sweetness of strawberry, raspberry, watermelon, and red fruit and a hint of mineral and salt. Balanced well with some acidity. This is a crowd pleaser that all would enjoy. Perfect for BBQ and take away and summer parties, even parties of one.,Beautiful rich aromas of strawberry, watermelon, kiwi, and honeysuckle. On the palate citrus, salt, minerals, and sour apple. Bold, complex, with a long finish driven by it's acidity. A complete steal at $14. Paired exceptionally well with ukrainian style chicken chebureki."
Château Haut Blanville,Rosé 2019,Rosé wine,France,4.2,34,25.99,,,"Really pretty Rose! Enough fruit with notes of strawberry and peach but finishes dry. The bottle is also super sexy!,Really fragrant with some great fruit forward smells. Bottle is sexy and the glass topper is a nice touch just don't be like me and think it was a plastic cork that needed to be corkscrewed out! Taste great with some heavy strawberry forward flavor that mellows out into kind of a melony aftertaste.,A dry Grenache Noir, Syrah & Cinsault Rosé that’s crisp and refreshing. Has a nice balanced acidity and is fruit forward on the nose. Easy drinking!"
Maculan,Torcolato 2012,Dessert wine,Italy,4.1,387,50.99,100% Vespaiola,13.5,"Claire’s Birthday Day Gift from J and J 2020 Braganza Torcolato is made from 100% Vespaiolo — Grapes are Dried for 4 months (Passito) and Aged 1 year in 1/3 American and 2/3 old French Oak 14% ALC — Golden Yellow A Lush and Balanced Style Dessert Wine — Likes Asiago and Creamy Blue Cheeses Honey Floral Apricot Dried Spices Sweet Full Bodied Nicely Balanced Clean and Lively Smooth Texture,One of the best sweet Wien from Italy, for collate remains just amazing, it’s some honey and fruit at the same time and it’s not too invasive or too sweet. An incredible qualitative product.,Sweet things are made of this. To cap off Valentine’s Day lunch and in keeping with the colour theme of all the wines, we were treated to this dessert wine from Veneto. Made in the appassimento method of drying grapes on strings or straw mats to shrivel and concentrate sugars. The grape is Vespaiola. Lighter than Sauternes but equally divine with focused acidity that balances its residual sweetness. Yum."
Elena Walch,Vigna Kastelaz Gewürztraminer 2018,White wine,Italy,4.2,233,31.99,100% Gewürztraminer,14.5,"A very aromatic white. Tasty and delicious. 93 points At the James Suckling Italian wines Event. Too many wines for a long review 😉,Pronounced intensity with lychee, citrus, apple, pear, grape, white flower, honey, medium acidity and medium body. long length.,Lychee, white rose petal, perfume, jasmine, grapefruit peel, lemon zest, orange blossom, pear, sels gris. Fully body, M+ acid Oily"
Cantina Gabriele,Dolcemente Rosso (Cabernet Sauvignon - Cesanese) 2015,Dessert wine,Italy,4.2,36,10.99,"Cabernet Sauvignon, Cesanese",,"Fantastic choice if you want a red wine, but not too try and very flavorful. It is so delicious, and something I would have no shame bringing to a 'swanky' party.,We used this to make Sangria and it was perfect. Just perfect.,Wonderful semi- sweet red blend. Berry-cherry notes and a very smooth finish with just the right amount of sweetness. My favorite for unwinding and shaking off ""the seriousness"" of the day."
Poggio le Volpi,Donnaluce 2018,White wine,Italy,4.2,973,29.57,"Greco, Malvasia, Chardonnay",,"Who said that Italians couldn’t make white wine? This just goes to prove that they can. Smell colour taste are fantastic! Creamy and heavy with long after taste and complex flavours.,Loved this wine - creamy in texture, heavy on the fruits especially peach, well balanced and paired with seafood pasta - worked perfectly. It reminded me of another excellebt white I have had from Milazzo - maria costanzo,Sweet wine, fruity taste."
Lucien Crochet,Sancerre Pinot Rosé 2019,Rosé wine,France,4.3,28,36.99,100% Pinot Noir,13.5,"Italian Vine Spring Tasting New & Unique Wines of France tasting by Patrick & Mark at the Normandy with Nat, Kim & Melissa 3/18/2021. Extended skin contact 18-24 hours. Juicy with great acidity. classic in character, with tangy strawberries and punchy chalk on the nose, and a soft, mellow, pale pink color in the glass. $29,Crisp and refreshing with a clean finish and mouthfeel, one of the best still Rosés I’ve had. Notes of tart strawberry, citrus, and smooth minerals. The quality of the grapes and winemaking really shows.,Peach and pear on the nose. Lime and citrus as first taste with high acidity and dryness. Pear and melon finish. Overall less fruit compared to Provence Rose - to be expected - acidity and dryness make this very refreshing. Very enjoyable."
Colterenzio (Schreckbichl),Pfefferer 2019,White wine,Italy,4.3,4376,19.99,100% Moscato Giallo,12.5,"Very aromatic and bright with honeysuckle and citrus. Crisp with notes of tropical fruit, citrus, and green apple. Beverage pairing at Tailor,Strong peach aroma with strawberry and pineapple notes. In taste some more acidic tones unveil: lemon zest, and moreover, mango and maybe unripe cherry.,Wonderfully aromatic with flavors of stone fruits tropical juices and citrus. Medium dry for a moscato grape with a fresh effervescence on the tongue,256 ratings,1227 ratings,197 ratings,2085 ratings"
Esporão,Esporão Private Selection Branco 2016,White wine,Portugal,4.2,607,33.99,100% Sémillon,13.5,"Great white Portugese with maturing on wood. Fat, buttery but still fresh, crispy and long lasting mouth feel. At 10 degrees the minimum. Even good with red meats.,Celebrating Valentine’s Day. Gold color, tropical fruits and honey flavors, oily on mouth, elegant with mineral medium aftertaste. Paired with scallops and pupunha. Rate 4.3,Excellent, but very different white wine. One of the best heavily oaked whites I have tasted. Deep yellow Straw color and medium plus acidity. Oak and exotic fruit on the nose. So many nuances on the buttery palate. I just can resemble some like baking spices, clove and white fruit. Very complex and nice. Will definitely buy again."
Barton & Guestier,Tourmaline Côtes de Provence 2018,Rosé wine,France,4.1,693,22.99,,,"Very nice Rose, and a beautiful bottle! Not my favorite Provence rose of the season however, and there are many other fine choices at a more affordable price.,Excellent rosè from Provence, presented in an absolutely beautiful, elegant bottle! Nose is 5 stars, complex explosion of fruits ranging from watermelon, apricot and strawberry, paired with soft flowery notes. A wine perfume that excites the senses. Loses some of its complexity on the mouth due to some degree of minerality, which is why I gave it 4.5 stars overall, but nonetheless a truly great sample from the land of Rosè.,4.2/5 Hallmarked by pleasure freshness from fresh minerality in a rainy day and citrus grapefruit with solid structure from medium plus acidity and subtle red fruits (particularly wild strawberry). Aromas originated from white flowers aromas are intense and lingering. Slight saline, grassy, and savory dairy product flavours boost up its complexity. This is the reliable example of high-quality Provence rose. Paired well with diverse foods on the table."
Domaine Les Pallières,Gigondas Au Petit Bonheur 2017,Rosé wine,France,4.0,65,19.95,"Shiraz/Syrah, Grenache, Cinsault, Clairette",14.1,"A rich and flavorful Rose with peach color and flavor. Vanilla, rose and some melon. Soft minerals and nice finish. Best on a summer night with melon and prosciutto and tangy cheese. Tres bon.,Light peach color, pinkish golden hue, long honey finish. An atypical, interesting and lovely rosé. Made with natural yeast, liquid fermentation in wood (not steel), no control of temperature or color.,Light nose of apricot. Nice acidity and good length."
Risata,Moscato d'Asti N.V.,Sparkling wine,Italy,4.2,5402,13.24,100% Moscato Bianco,5.5,
Ruggeri,Giustino B. Valdobbiadene Prosecco Superiore 2017,Sparkling wine,Italy,4.0,383,35.99,100% Glera,11.5,"Second tasting from bottle. Fruity and floral aromas and flavours of honeysuckle, elderflower, apple, lime and lemon. Med alcohol, med body, med+finish, med acidity,Nose: moderate aroma intensity of citrus, green apple, and hints of mineral. Palate: dry, smooth texture, well-balanced acidity, and medium length finish,Clean with well-defined fresh fruit aromas and flavors. Medium intensity notes of green apples, pear, lemon, peaches, blossoms. Medium acidity, medium body, medium alcohol, medium finish. Good for easy drinking."
Graham Beck,Bliss Demi Sec N.V.,Sparkling wine,South Africa,4.0,446,20.99,100% Chardonnay,11.5,"Lovely golden yellow colour. Honeysuckle,butterschotch and praline. Some yeasty sweet bread. Fine mousse. Very indulgent and self love.,Really quite good. Decent bubbles. Lovely flavours. Great easy drinking bubbly.,Initial whiff of intense citrus and melon that quickly fades into honey and vanilla. Sweet and tangy green apple flavors and salinity. High acidity. Balanced, surprisingly complex, and yummy! Not too sweet either. Cheers! 🥂"
Château Graville-Lacoste,Graves Blanc 2019,White wine,France,4.2,330,20.95,"Sauvignon Blanc, Sémillon, Muscadelle",,"Brackenbury wine rooms -4-4.5 £14 Fruity, citrus, clean, fresh very quaffable Binny - closest to 5 she has had Defo have again!!! Buy a case,A bunch of citrus upfront with some mild acidity, a good clean minerality to it, with a slight tart green apple. Easy drinking, medium bodied wine,Pale.. almost Greenish yellow in colour. Freshness, salinity, crisp but with very little acidity . I can always imagine being on the French Atlantic coast drinking this and eating oysters. It’s so light and enjoyable. Great price too . Think the extra year in the bottle brought some balance to it too. Perhaps a bit simple and clean for some but for me this is a 4.4"
Château de la Roulerie,Coteaux du Layon 2018,Dessert wine,France,4.4,114,,Chenin Blanc,,"Absolutely stunning / pineapple coming off the nose. Extremely drinkable wine which is well balanced with high degree of acid and sweetness! Could drink all day long!,Same review as last time 🤩 Nouri tasting menu for bday party 🎉 🥳 one of the nicest meals ever,Very nice. Had this had zen restaurant in Singapore"
Terra d'Oro,Zinfandel Port N.V.,Fortified Wine,United States,3.9,638,20.39,100% Zinfandel,,"Who doesn't like port? Coffee, toffee and orange flavors mixed with citrus and a zinfandel wine, Wahoo boy, it's a keeper! Enjoy!,Heavy grape jam & Chocolate on nose. Raisins on palate. Very heavy with a lingering finish. Good sweetness, but not too sweet for a port."
